"Full Name","Job Title (exact)","Department / Role Category","Company (Enerparc AG or subsidiary)","Source URL","Public Email (if found)","Notes"
"Raphael May","Senior O&M Engineer","O&M / Field Operations","ENERPARC AG","https://www.enerparc.de/unternehmen/team","–","Listed on Enerparc’s official team page as “Senior O&M Engineer”, indicating senior responsibility for technical operation and maintenance of PV plants.linkedin"
"Frederik Kliemt","Senior O&M Engineer","O&M / Field Operations","ENERPARC AG","https://www.enerparc.de/unternehmen/team","–","Also listed as “Senior O&M Engineer”, suggesting parallel senior O&M role likely involved in troubleshooting and performance optimization.linkedin"
"Sonja Körner","Senior O&M Engineer","O&M / Field Operations","ENERPARC AG","https://www.enerparc.de/unternehmen/team","–","Third “Senior O&M Engineer” on the team page, giving you multiple senior O&M contacts at HQ level.linkedin"
"Mathias Behrendt","Regionalleiter","O&M / Field Operations","Enerparc Service GmbH","https://www.linkedin.com/in/mathias-behrendt-6b36402ab","–","Regionalleiter (regional manager) at Enerparc Service GmbH, previously “Servicetechniker” at Enerparc AG; likely line manager for field technicians responding on-site in Germany.linkedin"
"O&M Department (Servicetechniker Niederspannung)","Servicetechniker Niederspannung (m/w/d) für Photovoltaik-Freiflächenanlagen","O&M / Field Operations","Enerparc Service GmbH","https://www.enerparc-service.de/servicetechniker-niederspannung-m-w-d-fuer-photovoltaik-freiflaechenanlagen-58","–","Job ads for “Servicetechniker Niederspannung … für Photovoltaik-Freiflächenanlagen” confirm Enerparc Service employs low-voltage service technicians who perform on-site maintenance and repairs across Germany.enerparc-service+1"
"Ashwin Aravindkumar","Senior Manager O&M | Solar PV Operation and Maintenance","O&M / Field Operations","Enerparc Energy Pvt. Ltd. (India)","https://www.linkedin.com/in/ashwin-aravindkumar-440aa916","–","Senior Manager O&M at Enerparc Energy Pvt. Ltd. in Bengaluru, overseeing operation and maintenance of ground-mount and rooftop PV plants in India; useful if you later extend routing to Indian assets.linkedin"
"Javier L.","Head Of Technical Asset Management (previously O&M Manager)","Asset Management (technical) / O&M management","ENERPARC AG","https://www.linkedin.com/in/javierlarioslopez3","–","LinkedIn shows current role “Head Of Technical Asset Management” at ENERPARC AG (Hamburg) and prior role “O&M Manager – ENERPARC AG”, making him a strong escalation point for technical asset issues and O&M strategy.linkedin"
"Paul Christian Kossmann","Asset Manager","Asset Management","ENERPARC AG","https://www.linkedin.com/in/paul-chr-kossmann","–","“Asset Manager at ENERPARC AG” based in Hamburg/Bremen; fits routing for financial-impact findings on specific assets or portfolios.linkedin"
"Gwen S.","Financial Asset Manager","Asset Management / Finance","ENERPARC AG","https://www.linkedin.com/in/gwenschliemann","–","Listed as “Financial Asset Manager @ ENERPARC AG” in the Hamburg area; suitable for financially oriented asset reporting, degradation summaries, and repair-vs-replace recommendations.linkedin"
"Marceau Leroux","Geschäftsführer ENERPARC Solaire","Asset Management / Country Operations","ENERPARC Solaire (France)","https://www.enerparc.de/unternehmen/team","–","Team page lists him as “Geschäftsführer ENERPARC Solaire”; RocketReach describes him as Managing Director of ENERPARC AG’s French subsidiary, making him a key escalation contact for French plants.linkedin+1"
"Vishal Kaushik","Scada Engineer","Plant Monitoring / SCADA / Remote Operations","ENERPARC AG","https://www.linkedin.com/in/vishal-kaushik-57927079","–","LinkedIn shows “Scada Engineer – ENERPARC AG” in Hamburg, matching your SCADA/plant-monitoring category for real‑time inverter and plant data supervision.linkedin"
"Ahmed Mohamedin Mohamed Abdalnabe","SCADA ASE","Plant Monitoring / SCADA / Remote Operations","ENERPARC AG","https://www.linkedin.com/in/ahmedmohamedin1","–","Profile snippet lists “SCADA ASE Enerparc AG” with responsibilities including managing IT staff and systems, suggesting involvement in SCADA/IT operations and remote systems management.linkedin"
