rank,inverter_id,date,latest_factor,latest_relative_factor,degradation_rate_pct_per_year,fast_degradation,recent_factor_points,total_frozen_lost_kwh
1,INV 01.07.047,2026-06-01,0.7648598256449293,0.821757755782669,17.284421601914975,False,30,51370.64931272211
2,INV 01.08.058,2026-05-31,0.8206581675313043,0.8914168140595886,-24.516180882625168,True,30,31893.718165033657
3,INV 01.07.045,2026-06-01,0.9294540808780936,1.002484784631382,-19.410967094665136,True,30,31240.127380662285
4,INV 01.09.062,2026-05-31,0.9133229810212675,0.9816466974111223,128.2479943674207,False,30,29660.46716688717
5,INV 01.07.051,2026-06-01,0.9617365049433375,1.03433515857705,11.342681388435185,False,30,28314.637650737204
6,INV 01.02.012,2026-06-01,0.7529755729017104,0.8868240532607532,-19.14276445872155,True,30,26763.67078819051
7,INV 01.01.002,2026-06-01,0.7996558347983758,0.9414231856961184,-4.1628392626638755,True,30,26315.88092500925
8,INV 01.01.004,2026-06-01,0.7879741966664068,0.93132464240453,-13.560166058746983,True,30,25718.537727791027
9,INV 01.03.016,2026-06-01,0.8223055279355338,0.989225989267461,-8.875740153275189,True,30,24172.505481300792
10,INV 01.08.057,2026-05-31,0.8910083293165727,0.9641198871351806,133.99300361052676,False,30,23703.211401181725
11,INV 01.01.003,2026-06-01,0.8349974502229374,0.9842969793472488,-10.298784230998377,True,30,22903.87158401332
12,INV 01.07.046,2026-06-01,0.9141288934955516,0.9847851934348548,-13.69868034760096,True,30,22267.79717031283
13,INV 01.01.007,2026-06-01,0.82339559947398,0.9671943814250499,1.8696670132081241,False,30,21932.424667021445
14,INV 01.06.039,2026-06-01,0.8591829053767147,1.016586693620806,-21.41210155833446,True,30,19761.370445512555
15,INV 01.06.037,2026-06-01,0.8459606386961026,0.9954570460899845,-3.3588677163740233,True,30,18918.25396695931
16,INV 01.03.018,2026-06-01,0.8182874330017432,0.9876700959334468,-16.911214812962136,True,30,18631.722107647915
17,INV 01.02.014,2026-06-01,0.8512778283807168,1.0007507987191446,-2.3611210488222416,False,30,18591.316895685
