inverter_id,total_lost_kwh,worst_residual_z,worst_acute_residual_z,latest_mean_factor,latest_mean_relative_factor,strong_samples,outage_samples,slow_degradation_samples,fast_degradation_samples,error_samples,explained_fault_samples
INV 01.07.047,51370.64931272211,-28.57727523339888,-16.238058853760062,0.5,0.5690574362449052,3052,2722,44783,75136,1044,909
INV 01.08.058,31893.718165033657,-33.29827927275881,-30.833667487201595,0.8121019883074156,0.7577065170024698,31448,19637,1281,103227,26936,25998
INV 01.07.045,31240.127380662285,-20.18286774797107,-19.762051907830458,1.087526558369929,1.2371074825765098,4860,964,51630,146565,1026,993
INV 01.09.062,29660.46716688717,-29.535217980814796,-29.34923628445244,0.5507597417844343,0.5460908393012012,26311,16081,432,122421,24852,22898
INV 01.07.051,28314.637650737204,-19.120879610423955,-16.38065945330887,0.5,0.570459067223851,3570,1629,14086,71849,1052,935
INV 01.02.012,26763.67078819051,-20.106012742233244,-24.912315991689884,0.9480455922603684,0.9955096704673142,17426,10838,4424,123420,14953,14622
INV 01.01.002,26315.88092500925,-19.950209385423136,-38.23094500507803,0.9210709500819892,0.9609986862460178,14970,8074,8489,136856,12736,11933
INV 01.01.004,25718.537727791027,-15.423095833627068,-17.779345006428393,0.6238927987478757,0.7149435885417135,13651,7131,5313,78422,7079,6448
INV 01.03.016,24172.505481300792,-51.07293521020752,-51.29984130354126,1.0281183210942406,1.0690012393700692,14769,8851,9873,129415,816,782
INV 01.08.057,23703.211401181725,-15.534301839105245,-16.678465141997194,0.5,0.5341119157838232,14907,7215,5276,62770,12032,11553
INV 01.01.003,22903.87158401332,-19.455192365669607,-19.61256174400689,0.6070065310224596,0.666591200679063,10303,5866,5990,117717,8063,7823
INV 01.07.046,22267.79717031283,-19.137984768685595,-19.584155749100788,0.5523858479671889,0.6448924895883725,4080,1135,20362,111955,1357,1292
INV 01.01.007,21932.424667021445,-16.85796935013991,-16.910778769661547,0.6236755422302624,0.6962824443305615,5695,1855,9213,58785,3046,2874
INV 01.06.039,19761.370445512555,-18.06750991323887,-18.345679618162723,0.5203609284589766,0.5963022978883603,3219,894,9871,73283,1323,1188
INV 01.06.037,18918.25396695931,-22.929517550417703,-21.761842340973136,1.01422417312807,1.0433024653891947,10509,5479,3205,143420,2472,2313
INV 01.03.018,18631.722107647915,-16.990649034104553,-14.61818736241672,0.582266294891441,0.7625616685001778,1879,520,12757,62690,851,736
