date,year,expected_kwh,actual_kwh,lost_kwh,strong_samples,outage_samples,slow_degradation_samples,fast_degradation_samples,error_samples,explained_fault_samples
2019-01-02,2019,94.29549972806663,80.00533,28.7875712750166,5,0,2,270,0,0
2019-01-03,2019,39.14910831847533,9.559608,29.58949999808018,15,0,12,108,0,0
2019-01-08,2019,17.49091618339624,42.93216,0.0,0,0,0,81,0,0
2019-01-10,2019,55.489026442796025,0.0,55.704971471467665,22,1,3,291,655,61
2019-01-12,2019,26.009219308196844,0.0,26.009219308196844,0,0,0,135,305,26
2019-01-14,2019,222.36714492636253,549.6866,8.706026181203102,0,0,0,629,0,0
2019-01-15,2019,128.37734577251246,285.56787,4.136842371844554,0,0,0,513,0,0
2019-01-16,2019,162.41993594542217,396.99857,0.004644063900684318,0,0,0,594,0,0
2019-01-18,2019,131.89451237202184,185.52185,14.768795743166,0,0,0,972,0,0
2019-01-19,2019,615.4992945132421,2402.9856,77.38793974240652,3,0,0,2294,0,0
2019-01-20,2019,207.17290492653757,2171.9937,20.037724039792142,0,0,0,2294,0,0
2019-01-21,2019,-21.413260792270282,1128.7015,0.3907152226851987,0,0,0,1705,0,0
2019-01-22,2019,-54.13970812329458,2540.895,2.2641067369451284,0,0,0,2325,0,0
2019-01-23,2019,-46.77595713289326,2619.2346,5.99255417290621,0,0,0,2387,0,0
2019-01-24,2019,47.914072103875846,647.50494,0.0,0,0,0,1209,0,0
2019-01-25,2019,56.48218120005909,500.64774,0.0,0,0,0,1155,0,0
2019-01-27,2019,102.95875492947323,237.26491,1.0153119927558678,0,0,0,448,0,0
2019-01-28,2019,816.0967579082438,1592.3944,56.709855832706126,3,0,17,1980,0,0
2019-01-29,2019,140.86270559061595,297.51462,0.4205224445597155,0,0,0,693,0,0
2019-01-30,2019,925.461304825892,3080.429,44.70172965343561,0,0,0,2574,0,0
2019-01-31,2019,1614.1905235089969,2851.733,166.54043962685174,0,0,0,2448,0,0
2019-02-01,2019,316.5181115775067,781.0868,0.0,0,0,0,1656,0,0
2019-02-04,2019,892.1474218885396,14.130867,878.0575554545342,58,963,23,501,3,0
2019-02-05,2019,373.93990867238233,24.191809,349.9829713231556,35,155,12,484,2,1
